technology,parameter,value,unit,source,further description
Gravity-Water-Aboveground-bicharger,efficiency,0.9014,per unit,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,investment,331163.0018,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-store,investment,110277.2796,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,efficiency,0.9014,per unit,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,investment,819830.358,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-store,investment,86934.3265,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,FOM,1.7,%/year,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,investment,4478.0,EUR/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,FOM,0.126404494,%/year,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,investment,712.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,FOM,1.91665,%/year,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,investment,105.8799,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,investment,329.3682,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,investment,750.075,EUR/MWh_H2,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,capacity,11000.0,t_H2,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,investment,361223561.6,EUR,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 evaporation,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
H2 evaporation,investment,78.35040000000001,EUR/kW_H2,Linear interpolation between 2040 and 2050,
H2 evaporation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 liquefaction,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
H2 liquefaction,electricity-input,0.203,MWh_el/MWh_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,hydrogen-input,1.017,MWh_H2/MWh_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,investment,609392.1,EUR/MW_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 pipeline,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
H2 pipeline,investment,267.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 pipeline,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVAC overhead,FOM,0.0,%/year,Linear interpolation between 2040 and 2050,
HVAC overhead,investment,546.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVAC overhead,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC inverter pair,FOM,0.15,%/year,Linear interpolation between 2040 and 2050,
HVDC inverter pair,investment,262500.0,EUR/MW,Linear interpolation between 2040 and 2050,
HVDC inverter pair,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC overhead,FOM,2.488687783,%/year,Linear interpolation between 2040 and 2050,
HVDC overhead,investment,2210.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVDC overhead,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC submarine,FOM,2.487562189,%/year,Linear interpolation between 2040 and 2050,
HVDC submarine,investment,2010.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVDC submarine,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
Haber-Bosch,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
Haber-Bosch,VOM,0.02,EUR/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,electricity-input,0.2473,MWh_el/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,hydrogen-input,1.1484,MWh_H2/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,investment,413000.0,EUR/MW_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Haber-Bosch,nitrogen-input,0.1597,t_N2/MWh_NH3,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,efficiency,0.4444,per unit,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,investment,85236.1065,EUR/MWh,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-charger,FOM,0.6345,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-charger,efficiency,0.6963,per unit,Linear interpolation between 2040 and 2050,
Hydrogen-charger,investment,314443.3087,EUR/MW,Linear interpolation between 2040 and 2050,
Hydrogen-charger,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,FOM,0.5812,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,efficiency,0.4869,per unit,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,investment,343278.7213,EUR/MW,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-store,FOM,0.43,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-store,investment,4329.3505,EUR/MWh,Linear interpolation between 2040 and 2050,
Hydrogen-store,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
LNG storage tank,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
LNG storage tank,investment,611.5857,EUR/m^3,Linear interpolation between 2040 and 2050,
LNG storage tank,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC chemical,investment,2264.327,EUR/t,Linear interpolation between 2040 and 2050,
LOHC chemical,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,investment,50728.0303,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),investment,759908.1494,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,electricity-input,0.004,MWh_el/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,hydrogen-input,1.867,MWh_H2/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,investment,51259.544,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,lohc-input,0.944,t_LOHC/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,investment,149.2688,EUR/t,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
LOHC transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
LOHC transport ship,capacity,75000.0,t_LOHC,Linear interpolation between 2040 and 2050,
LOHC transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
LOHC transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,investment,132.2635,EUR/t,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,FOM,2.4427,%/year,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,efficiency,0.8832,per unit,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,investment,116706.6881,EUR/MW,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,lifetime,12.0,years,Linear interpolation between 2040 and 2050,
Lead-Acid-store,FOM,0.2542,%/year,Linear interpolation between 2040 and 2050,
Lead-Acid-store,investment,290405.7211,EUR/MWh,Linear interpolation between 2040 and 2050,
Lead-Acid-store,lifetime,12.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,FOM,0.366,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,investment,430875.3739,EUR/MW,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,FOM,0.5212,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,efficiency,0.55,per unit,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,investment,302529.5178,EUR/MW,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-store,FOM,0.3208,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-store,investment,144015.52,EUR/MWh,Linear interpolation between 2040 and 2050,
Liquid-Air-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,efficiency,0.9193,per unit,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,lifetime,16.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,FOM,0.044700000000000004,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,investment,214189.7678,EUR/MWh,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,lifetime,16.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,efficiency,0.9193,per unit,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,lifetime,13.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,FOM,0.038,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,investment,244164.0581,EUR/MWh,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,lifetime,13.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,efficiency,0.5394,per unit,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,investment,52569.7034,EUR/MWh,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
MeOH transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
MeOH transport ship,capacity,75000.0,t_MeOH,Linear interpolation between 2040 and 2050,
MeOH transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
MeOH transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Methanol steam reforming,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
Methanol steam reforming,investment,16318.4311,EUR/MW_H2,Linear interpolation between 2040 and 2050,
Methanol steam reforming,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Methanol steam reforming,methanol-input,1.201,MWh_MeOH/MWh_H2,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,investment,161.932,EUR/MWh_NH3,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,capacity,53000.0,t_NH3,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,investment,74461941.34,EUR,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,efficiency,0.9,per unit,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Ni-Zn-store,FOM,0.2262,%/year,Linear interpolation between 2040 and 2050,
Ni-Zn-store,investment,242589.0145,EUR/MWh,Linear interpolation between 2040 and 2050,
Ni-Zn-store,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
OCGT,FOM,3.3564703160000002,%/year,Linear interpolation between 2040 and 2050,
OCGT,VOM,2.9,EUR/MWh,Linear interpolation between 2040 and 2050,
OCGT,efficiency,0.43,per unit,Linear interpolation between 2040 and 2050,
OCGT,investment,700000.0,EUR/MW,Linear interpolation between 2040 and 2050,
OCGT,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
PHS,FOM,1.6,%/year,Linear interpolation between 2040 and 2050,
PHS,efficiency,0.75,per unit,Linear interpolation between 2040 and 2050,
PHS,investment,2000000.0,EUR/MWel,Linear interpolation between 2040 and 2050,
PHS,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,FOM,0.366,%/year,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,investment,689970.037,EUR/MW,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,lifetime,33.0,years,Linear interpolation between 2040 and 2050,
Pumped-Heat-discharger,FOM,0.5212,%/year,Linear interpolation between 2040 and 2050,
Pumped-Heat-discharger,efficiency,0.63,per unit,Linear interpolation between 2040 and 2050,
Pumped-Heat-discharger,investment,484447.0473,EUR/MW,Linear interpolation between 2040 and 2050,
Pumped-Heat-discharger,lifetime,33.0,years,Linear interpolation between 2040 and 2050,
Pumped-Heat-store,FOM,0.1528,%/year,Linear interpolation between 2040 and 2050,
Pumped-Heat-store,investment,10458.2891,EUR/MWh,Linear interpolation between 2040 and 2050,
Pumped-Heat-store,lifetime,33.0,years,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-bicharger,FOM,0.9951,%/year,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-bicharger,efficiency,0.8944,per unit,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-bicharger,investment,1265422.293,EUR/MW,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-store,FOM,0.43000000000000005,%/year,Linear interpolation between 2040 and 2050,
Pumped-Storage-Hydro-store,investment,51693.7369,EUR/MWh,Linear interpolation between 2040 and 2050,
